record_id,product_name,product_type,price_usd,price_raw,price_note,commission_type,commission_pct,commission_flat_usd,commission_raw,net_earnings_per_sale_usd,earnings_per_cart_visitor,cart_conversion_pct,cancellation_rate_pct,vendor,online_since_raw,online_since_iso,product_age_days,payment_method,promotion_status,has_sales_page_link,has_affiliate_support_link,sales_page_url,affiliate_support_url,digistore24_product_url,description,category,derived_niche,source_page,parse_flags
1,Joseph’s Well – Blockbuster Offer From Top Diamond Vendor,Book (printed),84.78,$84.78,exact,percent,75.00,UNKNOWN,75.00%,76.36,UNKNOWN,16.00,5.41,megadrought,8/19/25,2025-08-19,370,UNKNOWN,Copy promo link,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,other,1,
2,Earn 60% Commission Promoting Advanced Amino Formula,Supplements - health,124.52,$124.52,exact,percent,60.00,UNKNOWN,60.00%,70.25,UNKNOWN,7.00,6.66,soundview,12/2/22,2022-12-02,1361,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
3,The Genius Wave,Downloads,50.66,$50.66,exact,percent,75.00,UNKNOWN,75.00%,43.85,UNKNOWN,15.00,7.79,thegeniuswave,4/6/24,2024-04-06,870,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,other,1,
4,Medicinal Garden Kit – BRAND NEW!,Deliverable,74.08,$74.08,exact,percent,72.00,UNKNOWN,72.00%,45.70,UNKNOWN,18.00,2.07,bookofren,3/19/21,2021-03-19,1984,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
5,NEW: The Self-Sufficient Backyard,Book (printed),51.80,$51.80,exact,percent,75.00,UNKNOWN,75.00%,27.18,UNKNOWN,9.00,1.28,sbackyard,3/15/21,2021-03-15,1988,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,survival-preparedness,1,
6,The Number 1 Serger and Overlocker Online Sewing Course,Member area and video courses,75.91,$75.91,exact,percent,35.00,UNKNOWN,35.00%,19.28,UNKNOWN,45.00,3.30,creatory,7/16/24,2024-07-16,769,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,home-diy,1,
7,The Wealth Signal,Downloads,52.14,$52.14,exact,percent,75.00,UNKNOWN,75.00%,37.86,UNKNOWN,15.00,10.69,thewealthsignal,4/28/24,2024-04-28,848,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,forex-crypto-trading,1,
8,Earn 60% Commission Promoting CircO2 Nitric Oxide Booster,Supplements - health,137.35,$137.35,exact,percent,60.00,UNKNOWN,60.00%,86.88,UNKNOWN,8.00,6.72,soundview,2/12/24,2024-02-12,924,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
9,Earn 60% Commission Promoting Advanced Mitochondrial Formula,Supplements - health,190.10,$190.10,exact,percent,60.00,UNKNOWN,60.00%,116.19,UNKNOWN,8.00,8.09,soundview,10/22/24,2024-10-22,671,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
10,Advanced Memory Formula,Supplements - health,147.65,$147.65,exact,percent,60.00,UNKNOWN,60.00%,91.44,UNKNOWN,7.00,6.53,soundview,3/3/25,2025-03-03,539,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
11,Prime Perform Supplement EN,Supplements - health,212.50,$212.50,exact,percent,30.00,UNKNOWN,30.00%,115.81,UNKNOWN,3.00,8.56,thankyouchoice,6/19/25,2025-06-19,431,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
12,The Lost SuperFoods,Book (printed),56.78,$56.78,exact,percent,75.00,UNKNOWN,75.00%,27.31,UNKNOWN,19.00,1.70,lostrec,3/4/21,2021-03-04,1999,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,other,1,
13,The Encyclopedia of Power Foods- Latest 2025/6!,E-books,47.08,$47.08,exact,percent,70.00,UNKNOWN,70.00%,29.28,UNKNOWN,16.00,8.97,dailyhealth,6/20/24,2024-06-20,795,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,other,1,
14,Home Doctor – BRAND NEW!,Book (printed),49.65,$49.65,exact,percent,75.00,UNKNOWN,75.00%,26.83,UNKNOWN,12.00,2.81,homedoctor,6/17/21,2021-06-17,1894,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,other,1,
15,iGenics - Hot New Offer in the Vision Niche!(Text and Video),Supplements - health,180.61,$180.61,exact,percent,65.00,UNKNOWN,65.00%,121.35,UNKNOWN,10.00,9.37,igenics,8/4/22,2022-08-04,1481,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
16,Lotto Champ,Member area and video courses,210.98,$210.98,exact,percent,65.00,UNKNOWN,65.00%,137.10,UNKNOWN,10.00,26.47,LottoChamp,11/19/24,2024-11-19,643,UNKNOWN,Request promotion,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,education-courses,1,
17,Promote Pineal Guardian Now!,Supplements - health,252.93,$252.93,exact,percent,70.00,UNKNOWN,70.00%,235.62,UNKNOWN,9.00,9.48,Nutraville,3/25/25,2025-03-25,517,UNKNOWN,Promote now,YES,YES,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,health-supplement,1,
