rank,product_name,product_type,vendor,price_usd,commission_pct,commission_flat_usd,net_earnings_per_sale_usd,cart_conversion_pct,cancellation_rate_pct,promotion_status,product_age_days,derived_niche,preliminary_risk_flag,funnel_economics_flag,performance_data_completeness,monetization_score,conversion_score,promotion_score,maturity_score,confidence_score,investigation_score,phase2_score,evidence_level,why_candidate,main_concern,effective_commission_pct,est_front_end_commission_usd,net_to_price_ratio,economic_attractiveness_band,identical_listing_cluster_size
1,Joseph’s Well – Blockbuster Offer From Top Diamond Vendor,Book (printed),megadrought,84.78,75.00,UNKNOWN,76.36,16.00,5.41,Copy promo link,370,other,LOW,NORMAL,5/5 (100%),27.33,23.5,15.0,10.0,10.0,9.0,94.83,EVIDENCE_RICH,$76.36 net/sale; 16% cart conversion; low 5.41% cancellation; open promotion; published performance data; 1.0y track record,none material at this stage,75.0,63.59,0.901,HIGH,1
2,Unlock Earnings! Promote PinealXT!,Supplements - health,Nutraville,211.10,55.00,UNKNOWN,158.86,13.00,9.97,Promote now,1049,health-supplement,HIGH,NORMAL,5/5 (100%),28.0,20,14.0,10.0,10.0,10.0,92.0,EVIDENCE_RICH,$158.86 net/sale; 13% cart conversion; open promotion; published performance data; 2.9y track record,HIGH preliminary risk: pseudoscientific mechanism claims,55.0,116.11,0.753,HIGH,1
3,Anti-Looter Kit - BRAND NEW!,Deliverable,antilooterkit,201.26,33.00,UNKNOWN,53.01,18.00,3.55,Promote now,572,health-supplement,MEDIUM,NORMAL,5/5 (100%),23.9,25,14.0,10.0,9.0,10.0,91.9,EVIDENCE_RICH,$53.01 net/sale; 18% cart conversion; low 3.55% cancellation; open promotion; published performance data; 1.6y track record,none material at this stage,33.0,66.42,0.263,HIGH,1
4,Medicinal Garden Kit – BRAND NEW!,Deliverable,bookofren,74.08,72.00,UNKNOWN,45.70,18.00,2.07,Promote now,1984,health-supplement,MEDIUM,NORMAL,5/5 (100%),25.32,25,14.0,8.0,10.0,8.0,90.32,EVIDENCE_RICH,$45.70 net/sale; 18% cart conversion; low 2.07% cancellation; open promotion; published performance data; 5.4y track record,none material at this stage,72.0,53.34,0.617,HIGH,1
5,Advanced Memory Formula,Supplements - health,soundview,147.65,60.00,UNKNOWN,91.44,7.00,6.53,Promote now,539,health-supplement,HIGH,NORMAL,5/5 (100%),28.04,18.5,14.0,10.0,10.0,7.0,87.54,EVIDENCE_RICH,$91.44 net/sale; 7% cart conversion; low 6.53% cancellation; open promotion; published performance data; 1.5y track record,HIGH preliminary risk: ingestible supplement - health claims require substantiation,60.0,88.59,0.619,HIGH,1
6,81 % Commission on US Immigration Survival PRO Bundle,Downloads,IsMaria,50.81,81.00,UNKNOWN,32.87,13.00,4.76,Promote now,398,survival-preparedness,MEDIUM,NORMAL,5/5 (100%),24.04,21.5,14.0,10.0,10.0,8.0,87.54,EVIDENCE_RICH,$32.87 net/sale; 13% cart conversion; low 4.76% cancellation; open promotion; published performance data; 1.1y track record,none material at this stage,81.0,41.16,0.647,HIGH,1
7,The Lost SuperFoods,Book (printed),lostrec,56.78,75.00,UNKNOWN,27.31,19.00,1.70,Promote now,1999,other,LOW,NORMAL,5/5 (100%),23.33,25,14.0,8.0,10.0,7.0,87.33,EVIDENCE_RICH,$27.31 net/sale; 19% cart conversion; low 1.70% cancellation; open promotion; published performance data; 5.5y track record,none material at this stage,75.0,42.59,0.481,HIGH,1
8,David’s Shield – New High-Conv VSL (2X CVR!) | $5M+ In Sales,Book (printed),blackoutusa,83.23,75.00,UNKNOWN,44.71,20.00,9.89,Promote now,339,other,LOW,NORMAL,5/5 (100%),25.24,22,14.0,9.0,10.0,7.0,87.24,EVIDENCE_RICH,$44.71 net/sale; 20% cart conversion; open promotion; published performance data,none material at this stage,75.0,62.42,0.537,HIGH,1
9,The Encyclopedia of Power Foods- Latest 2025/6!,E-books,dailyhealth,47.08,70.00,UNKNOWN,29.28,16.00,8.97,Promote now,795,other,LOW,NORMAL,5/5 (100%),23.59,22,14.0,10.0,10.0,7.0,86.59,EVIDENCE_RICH,$29.28 net/sale; 16% cart conversion; open promotion; published performance data; 2.2y track record,none material at this stage,70.0,32.96,0.622,HIGH,1
10,Promote Pineal Guardian Now!,Supplements - health,Nutraville,252.93,70.00,UNKNOWN,235.62,9.00,9.48,Promote now,517,health-supplement,HIGH,NORMAL,5/5 (100%),28.0,17,14.0,10.0,10.0,7.0,86.0,EVIDENCE_RICH,$235.62 net/sale; 9% cart conversion; open promotion; published performance data; 1.4y track record,HIGH preliminary risk: pseudoscientific mechanism claims,70.0,177.05,0.932,HIGH,1
