brand_name,vendor,query,emd_type,emd_host,position,serp_source,captured,validation
Nerve Fresh,premvitality,Nerve Fresh review,EMD_ROOT,nervefreshreview.blog,7,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED
Blood Sugar Blaster,premvitality,Blood Sugar Blaster review,EMD_SUBDOMAIN,blood-sugar-blaster.mediprimes.com,4,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED
TonicGreens,tonicgreens,TonicGreens review,EMD_ROOT,tonicgreens.reviews,1,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED
TonicGreens,tonicgreens,TonicGreens review,EMD_SUBDOMAIN,tonicgreens.colibrim.ai,6,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED
EchoXen,RM7866,EchoXen review,EMD_SUBDOMAIN,echoxen.buynusa.com,7,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED
SeroBurn,seroburn,SeroBurn review,EMD_ROOT,usa-seroburn.com,4,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED
CelluFend,KoalaAdvertising,CelluFend review,EMD_ROOT,cellufend-en.us,6,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED
Nail Refresh,premvitality,Nail Refresh review,EMD_ROOT,nail-refresh.co,6,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED
Nail Refresh,premvitality,Nail Refresh review,EMD_ROOT,nailrefresh.blog,7,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED
AppaNail,appanail,AppaNail review,EMD_SUBDOMAIN,appanail.mediprimes.com,3,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED
AppaNail,appanail,AppaNail review,EMD_SUBDOMAIN,appanail.supps.best,4,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED
