queue_rank,product_name,vendor,phase2_score,price_usd,net_earnings_per_sale_usd,cart_conversion_pct,cancellation_rate_pct,promotion_status,product_economics,why_deserves_bing_research,preliminary_risk,expected_research_angle,confidence,derived_niche
1,Joseph’s Well – Blockbuster Offer From Top Diamond Vendor,megadrought,94.83,84.78,76.36,16.00,5.41,Copy promo link,$84.78 price / 75.00% comm / $76.36 net,"proven conversion (16.00% cart, 5.41% cancel); $76/sale supports a content site at modest traffic; low compliance risk, truthful content is straightforward; no approval gate",LOW,branded review + problem-led queries + alternatives,HIGH,other
2,Anti-Looter Kit - BRAND NEW!,antilooterkit,91.9,201.26,53.01,18.00,3.55,Promote now,$201.26 price / 33.00% comm / $53.01 net,"proven conversion (18.00% cart, 3.55% cancel); $53/sale supports a content site at modest traffic; no approval gate",MEDIUM,"branded review + ""is it legit / scam"" + ingredient and alternatives queries",HIGH,health-supplement
3,The Lost SuperFoods,lostrec,87.33,56.78,27.31,19.00,1.70,Promote now,$56.78 price / 75.00% comm / $27.31 net,"proven conversion (19.00% cart, 1.70% cancel); low compliance risk, truthful content is straightforward; no approval gate",LOW,branded review + problem-led queries + alternatives,HIGH,other
4,David’s Shield – New High-Conv VSL (2X CVR!) | $5M+ In Sales,blackoutusa,87.24,83.23,44.71,20.00,9.89,Promote now,$83.23 price / 75.00% comm / $44.71 net,"proven conversion (20.00% cart, 9.89% cancel); $45/sale supports a content site at modest traffic; low compliance risk, truthful content is straightforward; no approval gate",LOW,branded review + problem-led queries + alternatives,MEDIUM,other
5,The Encyclopedia of Power Foods- Latest 2025/6!,dailyhealth,86.59,47.08,29.28,16.00,8.97,Promote now,$47.08 price / 70.00% comm / $29.28 net,"proven conversion (16.00% cart, 8.97% cancel); low compliance risk, truthful content is straightforward; no approval gate",LOW,branded review + problem-led queries + alternatives,HIGH,other
6,Medicinal Garden Kit – BRAND NEW!,bookofren,90.32,74.08,45.70,18.00,2.07,Promote now,$74.08 price / 72.00% comm / $45.70 net,"proven conversion (18.00% cart, 2.07% cancel); $46/sale supports a content site at modest traffic; no approval gate",MEDIUM,"branded review + ""is it legit / scam"" + ingredient and alternatives queries",HIGH,health-supplement
7,Fearless Phone Fanatic (For Cold Calling),dezatell,85.45,63.77,21.73,37.00,8.22,Promote now,$63.77 price / 30.00 flat% comm / $21.73 net,"proven conversion (37.00% cart, 8.22% cancel); low compliance risk, truthful content is straightforward; no approval gate",LOW,branded review + problem-led queries + alternatives,HIGH,other
8,Home Doctor – BRAND NEW!,homedoctor,85.26,49.65,26.83,12.00,2.81,Promote now,$49.65 price / 75.00% comm / $26.83 net,"proven conversion (12.00% cart, 2.81% cancel); low compliance risk, truthful content is straightforward; no approval gate",LOW,branded review + problem-led queries + alternatives,HIGH,other
9,81 % Commission on US Immigration Survival PRO Bundle,IsMaria,87.54,50.81,32.87,13.00,4.76,Promote now,$50.81 price / 81.00% comm / $32.87 net,"proven conversion (13.00% cart, 4.76% cancel); no approval gate",MEDIUM,"branded review + problem-led (""how to ..."") + book/guide comparisons",HIGH,survival-preparedness
10,Help Others Overcome Their Acid Refluy | 45% Commission,Refluxsummit,83.13,113.48,49.43,7.00,5.19,Promote now,$113.48 price / 60.00% comm / $49.43 net,"proven conversion (7.00% cart, 5.19% cancel); $49/sale supports a content site at modest traffic; low compliance risk, truthful content is straightforward; no approval gate",LOW,"course review + ""worth it"" + vs named competitor courses",HIGH,education-courses
