top5_rank,product,keyword_cluster_measured,domain,status,registry_detail,alt_tld_results,checked_via,checked_date
1,The Self-Sufficient Backyard,"self sufficient backyard 1,900 + the self sufficient backyard 1,600 + homesteading book 1,000 + self sufficient backyard book 390 + best homesteading books 390 + self sufficiency book 320",backyardselfsufficiency.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
1,The Self-Sufficient Backyard,"self sufficient backyard 1,900 + the self sufficient backyard 1,600 + homesteading book 1,000 + self sufficient backyard book 390 + best homesteading books 390 + self sufficiency book 320",selfsufficiencybooks.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
1,The Self-Sufficient Backyard,"self sufficient backyard 1,900 + the self sufficient backyard 1,600 + homesteading book 1,000 + self sufficient backyard book 390 + best homesteading books 390 + self sufficiency book 320",homesteadingbookreview.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
1,The Self-Sufficient Backyard,"self sufficient backyard 1,900 + the self sufficient backyard 1,600 + homesteading book 1,000 + self sufficient backyard book 390 + best homesteading books 390 + self sufficiency book 320",thehomesteadshelf.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
1,The Self-Sufficient Backyard,"self sufficient backyard 1,900 + the self sufficient backyard 1,600 + homesteading book 1,000 + self sufficient backyard book 390 + best homesteading books 390 + self sufficiency book 320",homesteadbookguide.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
1,The Self-Sufficient Backyard,"self sufficient backyard 1,900 + the self sufficient backyard 1,600 + homesteading book 1,000 + self sufficient backyard book 390 + best homesteading books 390 + self sufficiency book 320",backyardhomesteadguide.com,REGISTERED,registered 2025-11-06; expires 2026-11-06,backyardhomesteadguide.net=AVAILABLE; backyardhomesteadguide.org=AVAILABLE,RDAP registry lookup,2026-08-24
1,The Self-Sufficient Backyard,"self sufficient backyard 1,900 + the self sufficient backyard 1,600 + homesteading book 1,000 + self sufficient backyard book 390 + best homesteading books 390 + self sufficiency book 320",offgridreadinglist.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
1,The Self-Sufficient Backyard,"self sufficient backyard 1,900 + the self sufficient backyard 1,600 + homesteading book 1,000 + self sufficient backyard book 390 + best homesteading books 390 + self sufficiency book 320",selfsufficiencyguide.com,REGISTERED,registered 2026-01-06; expires 2027-01-06,selfsufficiencyguide.net=AVAILABLE; selfsufficiencyguide.org=AVAILABLE,RDAP registry lookup,2026-08-24
1,The Self-Sufficient Backyard,"self sufficient backyard 1,900 + the self sufficient backyard 1,600 + homesteading book 1,000 + self sufficient backyard book 390 + best homesteading books 390 + self sufficiency book 320",thehomesteadlibrary.com,REGISTERED,registered 2026-07-10; expires 2027-07-10,thehomesteadlibrary.net=AVAILABLE; thehomesteadlibrary.org=AVAILABLE,RDAP registry lookup,2026-08-24
1,The Self-Sufficient Backyard,"self sufficient backyard 1,900 + the self sufficient backyard 1,600 + homesteading book 1,000 + self sufficient backyard book 390 + best homesteading books 390 + self sufficiency book 320",homesteadreadinglist.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
2,The Lost SuperFoods,"long term food storage 1,300 ($3.04 CPC) + survival medicine adjacency + the lost superfoods 210 + survival food recipes 70",longtermfoodstorageguide.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
2,The Lost SuperFoods,"long term food storage 1,300 ($3.04 CPC) + survival medicine adjacency + the lost superfoods 210 + survival food recipes 70",thefoodstorageguide.com,REGISTERED,registered 2023-10-09; expires 2026-10-09,thefoodstorageguide.net=AVAILABLE; thefoodstorageguide.org=AVAILABLE,RDAP registry lookup,2026-08-24
2,The Lost SuperFoods,"long term food storage 1,300 ($3.04 CPC) + survival medicine adjacency + the lost superfoods 210 + survival food recipes 70",survivalfoodhandbook.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
2,The Lost SuperFoods,"long term food storage 1,300 ($3.04 CPC) + survival medicine adjacency + the lost superfoods 210 + survival food recipes 70",foodstoragehandbook.com,REGISTERED,registered 2023-10-09; expires 2027-10-09,foodstoragehandbook.net=AVAILABLE; foodstoragehandbook.org=AVAILABLE,RDAP registry lookup,2026-08-24
2,The Lost SuperFoods,"long term food storage 1,300 ($3.04 CPC) + survival medicine adjacency + the lost superfoods 210 + survival food recipes 70",shelfstablepantry.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
2,The Lost SuperFoods,"long term food storage 1,300 ($3.04 CPC) + survival medicine adjacency + the lost superfoods 210 + survival food recipes 70",thestockpileguide.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
2,The Lost SuperFoods,"long term food storage 1,300 ($3.04 CPC) + survival medicine adjacency + the lost superfoods 210 + survival food recipes 70",preppedpantryguide.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
2,The Lost SuperFoods,"long term food storage 1,300 ($3.04 CPC) + survival medicine adjacency + the lost superfoods 210 + survival food recipes 70",survivalfoodstockpile.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
3,Tube Magic,"tube magic 1,600 + youtube automation tools 170 ($10.16 CPC) + best ai tools for youtube 30 ($6.45 CPC)",youtubeautomationtools.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
3,Tube Magic,"tube magic 1,600 + youtube automation tools 170 ($10.16 CPC) + best ai tools for youtube 30 ($6.45 CPC)",aitoolsforyoutube.com,REGISTERED,registered 2026-03-30; expires 2027-03-30,aitoolsforyoutube.net=AVAILABLE; aitoolsforyoutube.org=AVAILABLE,RDAP registry lookup,2026-08-24
3,Tube Magic,"tube magic 1,600 + youtube automation tools 170 ($10.16 CPC) + best ai tools for youtube 30 ($6.45 CPC)",creatortoolreview.com,REGISTERED,registered 2026-07-01; expires 2027-07-01,creatortoolreview.net=AVAILABLE; creatortoolreview.org=AVAILABLE,RDAP registry lookup,2026-08-24
3,Tube Magic,"tube magic 1,600 + youtube automation tools 170 ($10.16 CPC) + best ai tools for youtube 30 ($6.45 CPC)",youtubeaistack.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
3,Tube Magic,"tube magic 1,600 + youtube automation tools 170 ($10.16 CPC) + best ai tools for youtube 30 ($6.45 CPC)",tubetoolreview.com,AVAILABLE,,,RDAP registry lookup,2026-08-24
