brand_name,vendor,query,serp_source,captured,validation,pos,url,title,domain,host,kinds,emd,brand_hit
Medicinal Garden Kit,bookofren,Medicinal Garden Kit review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,1,https://foodnourish.net/medicinal-garden-kit-review/,Medicinal Garden Kit Review: Should You Buy It?,foodnourish.net,foodnourish.net,SMALL_SITE,,1.0
Medicinal Garden Kit,bookofren,Medicinal Garden Kit review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,2,https://therealrealreviews.com/medicinal-garden-kit-by-nicole-apelian-is-it-worth-it-review/,Medicinal Garden Kit by Nicole Apelian: Is It Worth It? Review,therealrealreviews.com,therealrealreviews.com,SMALL_SITE,,1.0
Medicinal Garden Kit,bookofren,Medicinal Garden Kit review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,3,https://thewisdomshed.com/medicinal-garden-kit-review/,Videos,thewisdomshed.com,thewisdomshed.com,SMALL_SITE,,0.0
Medicinal Garden Kit,bookofren,Medicinal Garden Kit review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,4,https://healthreviewnetwork.com/hobbies/medicinal-garden-kit-review/,Medicinal Garden Kit Review 2026: Is It Worth It? My Honest ...,healthreviewnetwork.com,healthreviewnetwork.com,SMALL_SITE,,1.0
Medicinal Garden Kit,bookofren,Medicinal Garden Kit review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,5,https://thecountyreview.com/medicinal-garden-kit-review/,Medicinal Garden Kit Review: What You Need to Know Before You ...,thecountyreview.com,thecountyreview.com,SMALL_SITE,,1.0
Medicinal Garden Kit,bookofren,Medicinal Garden Kit review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,6,https://shelfinsider.com/medicinal-garden-kit-review/,Medicinal Garden Kit Review [2026]: How Growing Simple Plants ...,shelfinsider.com,shelfinsider.com,SMALL_SITE,,1.0
Medicinal Garden Kit,bookofren,Medicinal Garden Kit review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,7,https://rootolife.com/medicinal-garden-kit-scientific-review/,Medicinal Garden Kit Review 2026: My Honest Analysis After ...,rootolife.com,rootolife.com,SMALL_SITE,,1.0
Pineal Guardian,Nutraville,Pineal Guardian review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,1,https://bestsupplements.best/reviews/pineal-guardian-x/,Pineal Guardian X Review 2026: Honest Verdict,bestsupplements.best,bestsupplements.best,SMALL_SITE,,1.0
Pineal Guardian,Nutraville,Pineal Guardian review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,2,https://www.healthinsiders.com/pineal-guardian-review,Videos,healthinsiders.com,www.healthinsiders.com,SMALL_SITE,,0.0
Pineal Guardian,Nutraville,Pineal Guardian review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,3,https://www.thesupplementpost.com/reviews/pineal-guardian-x,"Pineal Guardian Reviews | Results, Ingredients, Side-Effects",thesupplementpost.com,www.thesupplementpost.com,SMALL_SITE,,1.0
Pineal Guardian,Nutraville,Pineal Guardian review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,4,https://www.dailyhealthsupplement.com/pineal-guardian-review/,Pineal Guardian X Review (2026) &mdash; Should You Buy It?,dailyhealthsupplement.com,www.dailyhealthsupplement.com,SMALL_SITE,,1.0
Pineal Guardian,Nutraville,Pineal Guardian review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,5,https://healthreviewnetwork.com/brain/pineal-guardian-review/,"Pineal Guardian Review {Scam}: Side Effects, Does It Work?",healthreviewnetwork.com,healthreviewnetwork.com,SMALL_SITE,,1.0
Pineal Guardian,Nutraville,Pineal Guardian review,"BING_INDEX_PROXY (Yahoo/DDG, Bing-sourced)",2026-08-24,VALIDATED,6,https://pinealcode.com/blog/pineal-guardian-review,Pineal Guardian Review: Natural Brain Health Supplement That ...,pinealcode.com,pinealcode.com,SMALL_SITE,,1.0
