record_id,product_name,brand_name,brand_confidence,product_type,vendor,price_usd,commission_type,commission_pct,commission_flat_usd,net_earnings_per_sale_usd,cart_conversion_pct,cancellation_rate_pct,promotion_status,promotable_now,product_age_days,online_since_iso,derived_niche,risk_flags,source_page,parse_flags,econ_score,sc_payout,sc_commission,sc_conversion,sc_retention,sc_promotable,sc_effort_worth,sc_stability
4,Medicinal Garden Kit – BRAND NEW!,Medicinal Garden Kit,HIGH,Deliverable,bookofren,74.08,percent,72.0,UNKNOWN,45.7,18.0,2.07,Promote now,YES,1984.0,2021-03-19,health-supplement,SUPPLEMENT,1,,96.67,19.15,11.52,20.0,20.0,10.0,13.0,3.0
1,Joseph’s Well – Blockbuster Offer From Top Diamond Vendor,Joseph’s Well,HIGH,Book (printed),megadrought,84.78,percent,75.0,UNKNOWN,76.36,16.0,5.41,Copy promo link,YES,370.0,2025-08-19,other,NONE,1,,95.66,21.67,12.0,17.78,18.21,10.0,13.0,3.0
25,Anti-Looter Kit - BRAND NEW!,Anti-Looter Kit,HIGH,Deliverable,antilooterkit,201.26,percent,33.0,UNKNOWN,53.01,18.0,3.55,Promote now,YES,572.0,2025-01-29,health-supplement,SUPPLEMENT|SURVIVAL_FEAR,1,,90.75,19.88,5.28,20.0,19.59,10.0,13.0,3.0
12,The Lost SuperFoods,The Lost SuperFoods,HIGH,Book (printed),lostrec,56.78,percent,75.0,UNKNOWN,27.31,19.0,1.7,Promote now,YES,1999.0,2021-03-04,other,MIRACLE_CLAIM,1,,90.66,16.66,12.0,20.0,20.0,10.0,9.0,3.0
45,David’s Shield – New High-Conv VSL (2X CVR!) | $5M+ In Sales,David’s Shield,HIGH,Book (printed),blackoutusa,83.23,percent,75.0,UNKNOWN,44.71,20.0,9.89,Promote now,YES,339.0,2025-09-19,other,NONE,1,,90.44,19.05,12.0,20.0,14.9,10.0,13.0,1.5
27,Unlock Earnings! Promote PinealXT!,PinealXT,HIGH,Supplements - health,Nutraville,211.1,percent,55.0,UNKNOWN,158.86,13.0,9.97,Promote now,YES,1049.0,2023-10-10,health-supplement,SUPPLEMENT,1,,89.08,25.0,8.8,14.44,14.84,10.0,13.0,3.0
51,Promote HydroLean XT Gold Now!,HydroLean XT Gold,HIGH,Supplements - health,zenmavibe,270.01,percent,70.0,UNKNOWN,87.17,9.0,5.56,Promote now,YES,703.0,2024-09-20,weight-loss,NONE,1,,87.62,22.32,11.2,10.0,18.1,10.0,13.0,3.0
17,Promote Pineal Guardian Now!,Pineal Guardian,HIGH,Supplements - health,Nutraville,252.93,percent,70.0,UNKNOWN,235.62,9.0,9.48,Promote now,YES,517.0,2025-03-25,health-supplement,SUPPLEMENT|MIRACLE_CLAIM,1,,87.4,25.0,11.2,10.0,15.2,10.0,13.0,3.0
15,iGenics - Hot New Offer in the Vision Niche!(Text and Video),iGenics,HIGH,Supplements - health,igenics,180.61,percent,65.0,UNKNOWN,121.35,10.0,9.37,Promote now,YES,1481.0,2022-08-04,health-supplement,SUPPLEMENT|MEDICAL,1,,86.74,23.95,10.4,11.11,15.28,10.0,13.0,3.0
72,81 % Commission on US Immigration Survival PRO Bundle,US Immigration Survival PRO Bundle,MEDIUM,Downloads,IsMaria,50.81,percent,81.0,UNKNOWN,32.87,13.0,4.76,Promote now,YES,398.0,2025-07-22,survival-preparedness,SURVIVAL_FEAR,1,,84.69,17.55,12.0,14.44,18.7,10.0,9.0,3.0
52,Promote NeuroPrime Now!,NeuroPrime,HIGH,Supplements - health,zenmavibe,287.22,percent,60.0,UNKNOWN,79.48,8.0,5.55,Promote now,YES,706.0,2024-09-17,health-supplement,SUPPLEMENT,1,,84.46,21.86,9.6,8.89,18.11,10.0,13.0,3.0
9,Earn 60% Commission Promoting Advanced Mitochondrial Formula,Advanced Mitochondrial Formula,HIGH,Supplements - health,soundview,190.1,percent,60.0,UNKNOWN,116.19,8.0,8.09,Promote now,YES,671.0,2024-10-22,health-supplement,SUPPLEMENT|MAKE_MONEY,1,,84.46,23.74,9.6,8.89,16.23,10.0,13.0,3.0
54,Goliath XL 10,Goliath XL 10,HIGH,Supplements - health,KoalaAdvertising,156.47,percent,65.0,UNKNOWN,122.11,7.0,8.15,Promote now,YES,577.0,2025-01-24,health-supplement,SUPPLEMENT,1,,84.35,23.98,10.4,7.78,16.19,10.0,13.0,3.0
8,Earn 60% Commission Promoting CircO2 Nitric Oxide Booster,CircO2 Nitric Oxide Booster,HIGH,Supplements - health,soundview,137.35,percent,60.0,UNKNOWN,86.88,8.0,6.72,Promote now,YES,924.0,2024-02-12,health-supplement,SUPPLEMENT|MAKE_MONEY,1,,84.04,22.3,9.6,8.89,17.24,10.0,13.0,3.0
14,Home Doctor – BRAND NEW!,Home Doctor,HIGH,Book (printed),homedoctor,49.65,percent,75.0,UNKNOWN,26.83,12.0,2.81,Promote now,YES,1894.0,2021-06-17,other,NONE,1,,83.91,16.57,12.0,13.33,20.0,10.0,9.0,3.0
77,Nerve Fresh,Nerve Fresh,HIGH,Supplements - health,premvitality,189.47,percent,70.0,UNKNOWN,114.92,10.0,14.07,Promote now,YES,677.0,2024-10-16,health-supplement,SUPPLEMENT|MEDICAL,1,,83.79,23.68,11.2,11.11,11.8,10.0,13.0,3.0
