record_id,product_name,brand_name,brand_confidence,product_type,vendor,price_usd,commission_type,commission_pct,commission_flat_usd,net_earnings_per_sale_usd,cart_conversion_pct,cancellation_rate_pct,promotion_status,promotable_now,product_age_days,online_since_iso,derived_niche,risk_flags,source_page,parse_flags
1,Joseph’s Well – Blockbuster Offer From Top Diamond Vendor,Joseph’s Well,HIGH,Book (printed),megadrought,84.78,percent,75.0,UNKNOWN,76.36,16.0,5.41,Copy promo link,YES,370.0,2025-08-19,other,NONE,1,
2,Earn 60% Commission Promoting Advanced Amino Formula,Advanced Amino Formula,HIGH,Supplements - health,soundview,124.52,percent,60.0,UNKNOWN,70.25,7.0,6.66,Promote now,YES,1361.0,2022-12-02,health-supplement,SUPPLEMENT|MAKE_MONEY,1,
3,The Genius Wave,The Genius Wave,HIGH,Downloads,thegeniuswave,50.66,percent,75.0,UNKNOWN,43.85,15.0,7.79,Request promotion,NO,870.0,2024-04-06,other,NONE,1,
4,Medicinal Garden Kit – BRAND NEW!,Medicinal Garden Kit,HIGH,Deliverable,bookofren,74.08,percent,72.0,UNKNOWN,45.7,18.0,2.07,Promote now,YES,1984.0,2021-03-19,health-supplement,SUPPLEMENT,1,
5,NEW: The Self-Sufficient Backyard,The Self-Sufficient Backyard,HIGH,Book (printed),sbackyard,51.8,percent,75.0,UNKNOWN,27.18,9.0,1.28,Promote now,YES,1988.0,2021-03-15,survival-preparedness,SURVIVAL_FEAR,1,
6,The Number 1 Serger and Overlocker Online Sewing Course,The Number 1 Serger and Overlocker Online Sewing Course,LOW,Member area and video courses,creatory,75.91,percent,35.0,UNKNOWN,19.28,45.0,3.3,Request promotion,NO,769.0,2024-07-16,home-diy,NONE,1,
7,The Wealth Signal,The Wealth Signal,HIGH,Downloads,thewealthsignal,52.14,percent,75.0,UNKNOWN,37.86,15.0,10.69,Request promotion,NO,848.0,2024-04-28,forex-crypto-trading,FINANCIAL,1,
8,Earn 60% Commission Promoting CircO2 Nitric Oxide Booster,CircO2 Nitric Oxide Booster,HIGH,Supplements - health,soundview,137.35,percent,60.0,UNKNOWN,86.88,8.0,6.72,Promote now,YES,924.0,2024-02-12,health-supplement,SUPPLEMENT|MAKE_MONEY,1,
9,Earn 60% Commission Promoting Advanced Mitochondrial Formula,Advanced Mitochondrial Formula,HIGH,Supplements - health,soundview,190.1,percent,60.0,UNKNOWN,116.19,8.0,8.09,Promote now,YES,671.0,2024-10-22,health-supplement,SUPPLEMENT|MAKE_MONEY,1,
10,Advanced Memory Formula,Advanced Memory Formula,HIGH,Supplements - health,soundview,147.65,percent,60.0,UNKNOWN,91.44,7.0,6.53,Promote now,YES,539.0,2025-03-03,health-supplement,SUPPLEMENT|MEDICAL,1,
11,Prime Perform Supplement EN,Prime Perform Supplement EN,HIGH,Supplements - health,thankyouchoice,212.5,percent,30.0,UNKNOWN,115.81,3.0,8.56,Promote now,YES,431.0,2025-06-19,health-supplement,SUPPLEMENT,1,
12,The Lost SuperFoods,The Lost SuperFoods,HIGH,Book (printed),lostrec,56.78,percent,75.0,UNKNOWN,27.31,19.0,1.7,Promote now,YES,1999.0,2021-03-04,other,MIRACLE_CLAIM,1,
13,The Encyclopedia of Power Foods- Latest 2025/6!,The Encyclopedia of Power Foods,HIGH,E-books,dailyhealth,47.08,percent,70.0,UNKNOWN,29.28,16.0,8.97,Promote now,YES,795.0,2024-06-20,other,NONE,1,
14,Home Doctor – BRAND NEW!,Home Doctor,HIGH,Book (printed),homedoctor,49.65,percent,75.0,UNKNOWN,26.83,12.0,2.81,Promote now,YES,1894.0,2021-06-17,other,NONE,1,
15,iGenics - Hot New Offer in the Vision Niche!(Text and Video),iGenics,HIGH,Supplements - health,igenics,180.61,percent,65.0,UNKNOWN,121.35,10.0,9.37,Promote now,YES,1481.0,2022-08-04,health-supplement,SUPPLEMENT|MEDICAL,1,
16,Lotto Champ,Lotto Champ,HIGH,Member area and video courses,LottoChamp,210.98,percent,65.0,UNKNOWN,137.1,10.0,26.47,Request promotion,NO,643.0,2024-11-19,education-courses,NONE,1,
17,Promote Pineal Guardian Now!,Pineal Guardian,HIGH,Supplements - health,Nutraville,252.93,percent,70.0,UNKNOWN,235.62,9.0,9.48,Promote now,YES,517.0,2025-03-25,health-supplement,SUPPLEMENT|MIRACLE_CLAIM,1,
18,Blood Sugar Blaster,Blood Sugar Blaster,HIGH,Supplements - health,premvitality,193.4,percent,60.0,UNKNOWN,133.52,7.0,12.13,Promote now,YES,2014.0,2021-02-17,health-supplement,SUPPLEMENT|MEDICAL,1,
19,https://dentitox24.com/help/affiliates.php,https://dentitox24.com/help/affiliates.php,MEDIUM,Supplements - health,Dentitox,187.78,percent,55.0,UNKNOWN,122.49,6.0,2.83,Request promotion,NO,830.0,2024-05-16,health-supplement,SUPPLEMENT,1,
20,EndoPeak,EndoPeak,HIGH,Supplements - health,I868696,79.0,percent,65.0,UNKNOWN,105.81,6.0,10.3,Request promotion,NO,1070.0,2023-09-19,health-supplement,SUPPLEMENT,1,
21,Audifort,Audifort,HIGH,Supplements - health,skyhighperformers,249.77,percent,64.0,UNKNOWN,151.29,6.0,11.06,Request promotion,NO,389.0,2025-07-31,health-supplement,SUPPLEMENT,1,
22,Prostadine,Prostadine,HIGH,Supplements - health,Prostadine,211.56,percent,65.0,UNKNOWN,144.35,5.0,13.98,Request promotion,NO,1187.0,2023-05-25,health-supplement,SUPPLEMENT,1,
