brand_name,vendor,net,risk_flags,bing_demand_tier,branded_search_points,econ_score,validation,results_seen,relevant,authority,marketplace,small_site,ugc,emd_root,emd_sub,emd_partial,serp_points
Medicinal Garden Kit,bookofren,45.7,SUPPLEMENT,BING_STRONG,20,96.67,VALIDATED,7,6,0,0,7,0,0,0,0,17.2
Pineal Guardian,Nutraville,235.62,SUPPLEMENT|MIRACLE_CLAIM,BING_STRONG,20,87.4,VALIDATED,7,6,0,0,7,0,0,0,0,17.2
iGenics,igenics,121.35,SUPPLEMENT|MEDICAL,BING_STRONG,20,86.74,VALIDATED,7,6,0,0,7,0,0,0,0,17.2
NeuroPrime,zenmavibe,79.48,SUPPLEMENT,BING_STRONG,20,84.46,VALIDATED,7,7,0,0,7,0,0,0,0,17.2
Advanced Mitochondrial Formula,soundview,116.19,SUPPLEMENT|MAKE_MONEY,BING_STRONG,20,84.46,VALIDATED,7,6,0,0,7,0,0,0,0,17.2
Vertigenics,Vertigenics,112.39,SUPPLEMENT,BING_STRONG,20,83.25,VALIDATED,7,7,0,0,7,0,0,0,0,17.2
Advanced Amino Formula,soundview,70.25,SUPPLEMENT|MAKE_MONEY,BING_STRONG,20,81.92,VALIDATED,7,6,0,0,7,0,0,0,0,17.2
CaviArgan,koshea76,87.66,SUPPLEMENT,BING_STRONG,20,79.47,VALIDATED,7,6,0,0,7,0,0,0,0,17.2
Lanta Flat Belly Shake,mysteryoffers,144.95,NONE,BING_STRONG,20,78.03,VALIDATED,7,6,0,0,7,0,0,0,0,17.2
Neuroxen,RM7866,129.39,SUPPLEMENT,BING_STRONG,20,77.47,VALIDATED,7,6,0,0,7,0,0,0,0,17.2
Vigortrix,MaxiOffer,157.41,SUPPLEMENT,BING_STRONG,20,77.4,VALIDATED,7,6,0,0,7,0,0,0,0,17.2
SynaBoost,synaboost,206.37,SUPPLEMENT,BING_STRONG,20,76.6,VALIDATED,7,6,0,0,7,0,0,0,0,17.2
All Day Slimming Tea,alldayslimtea,206.37,NONE,BING_STRONG,20,76.6,VALIDATED,7,6,0,0,7,0,0,0,0,17.2
Glucofreeze,freedomhealthllc,206.37,SUPPLEMENT,BING_STRONG,20,76.6,VALIDATED,7,4,0,0,7,0,0,0,0,17.2
Thyrafemme Balance,thyrafemme,134.22,SUPPLEMENT,BING_STRONG,20,76.17,VALIDATED,7,6,0,0,7,0,0,0,0,17.2
Ring Quiet,superwebj,189.17,SUPPLEMENT,BING_STRONG,20,75.8,VALIDATED,7,6,0,0,7,0,0,0,0,17.2
Fast Brain Booster,pegrom,56.51,SUPPLEMENT|MEDICAL,BING_STRONG,20,73.39,VALIDATED,7,6,0,0,7,0,0,0,0,17.2
Ultimate OFF-GRID Generator,infiniteensys,42.99,SURVIVAL_FEAR,BING_STRONG,20,72.85,VALIDATED,7,6,0,0,7,0,0,0,0,17.2
Blood Pressure 911,Phytage,53.2,SUPPLEMENT,BING_STRONG,20,72.29,VALIDATED,7,6,0,0,7,0,0,0,0,17.2
Dubai Wealth Secret,destinyaff,43.93,FINANCIAL|MIRACLE_CLAIM,BING_STRONG,20,81.64,VALIDATED,7,6,0,0,6,1,0,0,0,16.1
CogniSurge,zenmavibe,104.94,SUPPLEMENT,BING_STRONG,20,74.13,VALIDATED,7,6,0,0,6,1,0,0,0,16.1
Nerve Fresh,premvitality,114.92,SUPPLEMENT|MEDICAL,BING_STRONG,20,83.79,VALIDATED,7,6,0,0,6,0,1,0,0,15.6
Blood Sugar Blaster,premvitality,133.52,SUPPLEMENT|MEDICAL,BING_STRONG,20,81.04,VALIDATED,7,6,0,0,6,0,0,1,0,15.6
EchoXen,RM7866,106.93,SUPPLEMENT,BING_STRONG,20,78.99,VALIDATED,7,6,0,0,6,0,0,1,0,15.6
SeroBurn,seroburn,111.78,NONE,BING_STRONG,20,75.95,VALIDATED,7,6,0,0,6,0,1,0,0,15.6
CelluFend,KoalaAdvertising,104.94,SUPPLEMENT,BING_STRONG,20,74.13,VALIDATED,7,6,0,0,6,0,1,0,0,15.6
VigoSurge,vigosurge,60.07,SUPPLEMENT,BING_STRONG,20,72.89,VALIDATED,7,4,0,0,6,0,0,0,0,15.6
TonicGreens,tonicgreens,84.62,SUPPLEMENT,BING_STRONG,20,79.75,VALIDATED,7,4,0,0,5,0,1,1,0,14.0
Nail Refresh,premvitality,96.6,SUPPLEMENT,BING_STRONG,20,73.03,VALIDATED,7,6,0,0,5,0,2,0,0,14.0
AppaNail,appanail,60.07,SUPPLEMENT,BING_STRONG,20,72.89,VALIDATED,7,6,0,0,5,0,0,2,0,14.0
